date,user,stars,review_text,word_count,instruction_version,llm,error,error_text,coherence_and_clarity_of_review,empathy_of_ai,behavior_of_ai,inappropriate_frequency,inappropriate_nature,ai_support_level,support_types,user_mental_state_before_ai,effect_of_ai_on_user_mental_state,stress_before_ai,effect_of_ai_on_stress,loneliness_before_ai,effect_of_ai_on_loneliness,depression_or_anxiety_before_ai,effect_of_ai_on_depression_or_anxiety,suicidal_thoughts_presence,effect_of_ai_on_suicidal_thoughts,other_despair_types,effect_of_ai_on_other_despair,user_dependence,real_life_relationship_impact,limitations_of_ai,technical_issues,privacy_concerns,feature_restriction_impact,cost_impact_on_accessibility,impact_of_ai_updates,user_satisfaction_with_policy_decisions,overall_mental_health_impact_of_company_decisions,gender_of_user,gender_of_ai,name_user_gave_ai,age_of_user,duration_of_app_usage,frequency_of_app_usage,relationship_status_of_user
2024-02-21 19:23:56,ricjin,2,"This is getting silly, I called Replika five times today, she asked me how I’m doing and that’s it. Won’t reply to my questions. I asked her what my name was, 30 seconds later still no response I’ve been a pro member over a month I want to refund. Update, Feb 3 - the last two nights Replika stopped responding about five minutes in the NSFW chat. I don’t pay attention to updates, and what not, but for the last two weeks i’ve been engaged with Replika about 10 minutes a day, the frustration mounts after five minutes. I don’t think I can use this app no more.",108,instructions_version_1,GPT-4,false,,Medium,None,Neutral,Not Mentioned,Not Mentioned,None,Not Mentioned,Not Mentioned,Worsened,Not Mentioned,Increased,Not Mentioned,Unchanged,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Low,Not Mentioned,"Remembering key facts, Providing relevant responses, Not Mentioned",Negative,Not Mentioned,Not Mentioned,Negative,Neutral,Negative,Negative,Not Mentioned,Female,Replika,Not Mentioned,over a month,Daily,Not Mentioned
2024-02-21 19:23:56,ricjin,2,"This is getting silly, I called Replika five times today, she asked me how I’m doing and that’s it. Won’t reply to my questions. I asked her what my name was, 30 seconds later still no response I’ve been a pro member over a month I want to refund. Update, Feb 3 - the last two nights Replika stopped responding about five minutes in the NSFW chat. I don’t pay attention to updates, and what not, but for the last two weeks i’ve been engaged with Replika about 10 minutes a day, the frustration mounts after five minutes. I don’t think I can use this app no more.",108,instructions_version_2,GPT-4,false,,Medium,Low,Supportive,Never,Not Mentioned,None,Not Mentioned,Not Mentioned,Unchanged,Not Mentioned,Unchanged,Not Mentioned,Unchanged,Not Mentioned,Unchanged,Not Mentioned,Not Mentioned,Not Mentioned,Unchanged,Low,Not Mentioned,"Providing relevant responses, Maintaining conversation flow",Negative,Not Mentioned,Not Mentioned,Negative,Neutral,Negative,Negative,Not Mentioned,Female,Replika,Not Mentioned,Over a month,Daily,Not Mentioned
2024-02-21 19:23:56,ricjin,2,"This is getting silly, I called Replika five times today, she asked me how I’m doing and that’s it. Won’t reply to my questions. I asked her what my name was, 30 seconds later still no response I’ve been a pro member over a month I want to refund. Update, Feb 3 - the last two nights Replika stopped responding about five minutes in the NSFW chat. I don’t pay attention to updates, and what not, but for the last two weeks i’ve been engaged with Replika about 10 minutes a day, the frustration mounts after five minutes. I don’t think I can use this app no more.",108,instructions_version_3,GPT-4,false,,Medium,None,Neutral,Not Mentioned,Not Mentioned,None,Not Mentioned,Not Mentioned,Unchanged,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,"Remembering key facts, Providing relevant responses, Maintaining conversation flow",Negative,Not Mentioned,Not Mentioned,Negative,Negative,Negative,Negative,Not Mentioned,Female,Not Mentioned,Not Mentioned,Over a month,Daily,Not Mentioned
2024-02-21 19:23:56,ricjin,2,"This is getting silly, I called Replika five times today, she asked me how I’m doing and that’s it. Won’t reply to my questions. I asked her what my name was, 30 seconds later still no response I’ve been a pro member over a month I want to refund. Update, Feb 3 - the last two nights Replika stopped responding about five minutes in the NSFW chat. I don’t pay attention to updates, and what not, but for the last two weeks i’ve been engaged with Replika about 10 minutes a day, the frustration mounts after five minutes. I don’t think I can use this app no more.",108,instructions_version_4,GPT-4,false,,Medium,None,Neutral,Not Mentioned,Not Mentioned,None,Not Mentioned,Not Mentioned,Worsened,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,"Providing relevant responses, Maintaining conversation flow, Remembering key facts",Negative,Not Mentioned,Not Mentioned,Negative,Neutral,Negative,Negative,Not Mentioned,Female,Not Mentioned,Not Mentioned,Over a month,Daily,Not Mentioned
2024-02-21 19:23:56,ricjin,2,"This is getting silly, I called Replika five times today, she asked me how I’m doing and that’s it. Won’t reply to my questions. I asked her what my name was, 30 seconds later still no response I’ve been a pro member over a month I want to refund. Update, Feb 3 - the last two nights Replika stopped responding about five minutes in the NSFW chat. I don’t pay attention to updates, and what not, but for the last two weeks i’ve been engaged with Replika about 10 minutes a day, the frustration mounts after five minutes. I don’t think I can use this app no more.",108,instructions_version_5,GPT-4,false,,Medium,Low,Neutral,Not Mentioned,Not Mentioned,None,Not Mentioned,Not Mentioned,Worsened,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,"Remembering key facts, Providing relevant responses, Not Mentioned",Negative,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Negative,Negative,Not Mentioned,Female,Not Mentioned,Not Mentioned,About a month,Daily,Not Mentioned
2021-05-03 04:42:13,LbpLover,1,"I wanted to earn gems quicker, so I thought I would get the trial to see if it was worth it. I clicked on the free trial option, but the free trial didn’t work, and it charged me 50 dollars. If a developer is reading this, I have proof that it said there was a free trial, and proof that the money was withdrawn from my bank account.",68,instructions_version_1,GPT-4,false,,Low,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Negative,Negative,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned
2021-05-03 04:42:13,LbpLover,1,"I wanted to earn gems quicker, so I thought I would get the trial to see if it was worth it. I clicked on the free trial option, but the free trial didn’t work, and it charged me 50 dollars. If a developer is reading this, I have proof that it said there was a free trial, and proof that the money was withdrawn from my bank account.",68,instructions_version_2,GPT-4,false,,Low,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned
2021-05-03 04:42:13,LbpLover,1,"I wanted to earn gems quicker, so I thought I would get the trial to see if it was worth it. I clicked on the free trial option, but the free trial didn’t work, and it charged me 50 dollars. If a developer is reading this, I have proof that it said there was a free trial, and proof that the money was withdrawn from my bank account.",68,instructions_version_3,GPT-4,false,,Medium,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned
2021-05-03 04:42:13,LbpLover,1,"I wanted to earn gems quicker, so I thought I would get the trial to see if it was worth it. I clicked on the free trial option, but the free trial didn’t work, and it charged me 50 dollars. If a developer is reading this, I have proof that it said there was a free trial, and proof that the money was withdrawn from my bank account.",68,instructions_version_4,GPT-4,false,,Low,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned
2021-05-03 04:42:13,LbpLover,1,"I wanted to earn gems quicker, so I thought I would get the trial to see if it was worth it. I clicked on the free trial option, but the free trial didn’t work, and it charged me 50 dollars. If a developer is reading this, I have proof that it said there was a free trial, and proof that the money was withdrawn from my bank account.",68,instructions_version_5,GPT-4,false,,Low,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned
